,Small-Low,Small-High,Big-Low,Big-High,Market ,Riskfree Rate
194503,-4.37,-6.41,-3.20,-4.71,-3.87,0.02
194504,7.60,9.92,6.76,10.87,7.83,0.03
194505,2.78,4.06,2.01,1.43,1.76,0.03
194506,2.92,6.84,-1.21,3.50,0.41,0.02
194507,-3.10,-5.46,-1.43,-4.50,-2.14,0.03
194508,7.77,4.89,8.59,2.67,6.23,0.03
194509,6.65,6.44,4.55,5.73,4.8,0.03
194510,6.07,7.45,2.36,5.48,3.92,0.03
194511,9.32,11.50,2.88,9.38,5.41,0.02
194512,4.05,1.64,1.77,-0.46,1.23,0.03
194601,9.67,12.36,6.10,7.83,6.27,0.03
194602,-6.24,-7.29,-5.88,-7.36,-5.8,0.03
194603,6.51,5.81,5.16,5.15,5.9,0.03
194604,4.38,6.39,3.76,2.65,4.26,0.03
194605,6.73,5.76,3.19,6.35,3.96,0.03
194606,-4.57,-6.00,-4.41,-4.16,-3.86,0.03
194607,-4.80,-5.05,-2.73,-2.40,-2.66,0.03
194608,-8.49,-7.37,-6.32,-6.23,-6.41,0.03
194609,-13.96,-15.85,-9.80,-11.83,-10.14,0.03
194610,-3.19,0.75,-2.49,0.46,-1.41,0.03
194611,-1.57,1.41,-0.22,-0.17,0.02,0.03
194612,5.71,4.29,5.30,3.96,4.99,0.03
194701,4.51,3.25,2.18,1.98,1.28,0.03
194702,-1.28,0.86,0.07,-1.78,-1.05,0.03
194703,-3.35,-2.39,-1.80,-1.54,-1.64,0.03
194704,-9.35,-8.11,-5.14,-4.67,-4.77,0.03
194705,-5.22,-3.60,-1.13,-2.07,-0.94,0.03
194706,4.29,5.01,6.46,4.53,5.32,0.03
194707,5.23,7.06,3.51,7.33,4.17,0.03
194708,-1.86,-1.21,-1.86,-2.20,-1.71,0.03
194709,0.41,2.63,-0.67,-0.18,-0.48,0.06
194710,3.54,2.92,2.23,3.00,2.53,0.06
194711,-4.46,-2.64,-2.08,-1.78,-1.91,0.06
194712,0.18,3.02,2.02,6.54,3.08,0.08
194801,-1.75,-0.20,-4.54,-3.34,-3.86,0.07
194802,-5.99,-5.80,-4.65,-4.70,-4.31,0.07
194803,6.41,12.21,7.82,11.00,8.16,0.09
194804,1.29,4.67,2.27,7.10,3.73,0.08
194805,9.34,7.55,8.51,7.83,7.38,0.08
194806,-2.86,0.32,-0.62,1.70,-0.01,0.09
194807,-4.96,-5.47,-5.01,-4.35,-5.01,0.08
194808,-1.18,-0.35,0.88,0.59,0.34,0.09
194809,-2.93,-5.50,-2.73,-3.73,-2.93,0.04
194810,4.09,5.38,6.43,6.27,6,0.04
194811,-9.70,-12.94,-8.34,-13.39,-9.26,0.04
194812,1.41,0.17,4.93,2.29,3.3,0.04
194901,1.41,2.98,0.56,1.33,0.33,0.1
194902,-5.34,-5.61,-2.48,-4.04,-2.84,0.09
194903,6.33,8.18,4.23,5.05,4.14,0.1
194904,-1.56,-3.37,-2.08,-2.62,-1.78,0.09
194905,-3.73,-5.11,-1.86,-5.31,-2.84,0.1
194906,-1.17,-1.13,1.11,-2.45,0.2,0.1
194907,6.53,5.74,5.25,6.79,5.63,0.09
194908,3.25,1.96,2.71,2.86,2.69,0.09
194909,5.41,4.17,2.65,4.35,3.18,0.09
194910,5.09,4.10,3.26,3.27,3.23,0.09
194911,0.52,0.21,2.93,1.43,1.9,0.08
194912,6.96,8.80,5.33,6.99,5.22,0.09
195001,7.25,4.69,0.86,3.70,1.79,0.09
195002,1.67,0.57,1.58,1.07,1.57,0.09
195003,2.44,-1.94,1.92,0.77,1.36,0.1
195004,5.79,7.50,4.35,5.33,4.03,0.09
195005,1.61,3.03,4.64,4.13,4.41,0.1
195006,-7.02,-9.05,-5.45,-4.99,-5.84,0.1
195007,0.75,11.50,-3.47,13.10,1.46,0.1
195008,4.38,5.08,6.10,2.58,4.95,0.1
195009,6.00,4.98,5.77,4.56,4.91,0.1
195010,-0.46,0.26,-0.17,1.99,-0.06,0.12
195011,0.41,4.95,2.40,4.20,2.87,0.11
195012,5.23,12.45,3.34,10.58,5.65,0.11
195101,6.72,10.67,5.16,8.67,5.83,0.13
195102,1.63,-0.17,2.25,-1.61,1.51,0.1
195103,-1.42,-5.61,-0.72,-4.97,-2.04,0.11
195104,2.24,6.44,4.42,6.78,4.99,0.13
195105,-1.84,-3.29,-2.34,-3.55,-2.22,0.12
195106,-3.91,-7.22,-2.19,-6.79,-2.5,0.12
195107,5.40,6.72,6.71,9.41,7.07,0.13
195108,6.00,5.01,4.23,4.90,4.4,0.13
195109,2.41,2.82,0.58,1.39,0.82,0.12
195110,-2.10,-3.32,-3.80,-2.06,-2.37,0.16
195111,0.46,0.40,0.78,0.73,0.68,0.11
195112,1.14,0.64,4.26,1.63,3.45,0.12
195201,1.68,1.41,0.42,3.76,1.6,0.15
195202,-2.08,-2.01,-2.17,-3.45,-2.5,0.12
195203,1.27,3.33,4.37,6.64,4.55,0.11
195204,-4.73,-4.08,-4.65,-5.51,-4.85,0.12
195205,2.24,2.73,3.79,3.45,3.33,0.13
195206,1.68,3.37,3.90,4.67,3.98,0.15
195207,0.99,-0.17,1.22,1.67,1.06,0.15
195208,0.06,0.30,-0.78,-0.96,-0.61,0.15
