,Small-Low,Small-High,Big-Low,Big-High,Market ,Riskfree Rate
196606,0.82,-0.02,-2.01,-0.15,-1.06,0.38
196607,-2.17,-0.76,-1.61,-1.17,-1.28,0.35
196608,-11.39,-10.45,-7.65,-7.41,-7.5,0.41
196609,-2.05,-1.49,-0.98,-0.47,-0.66,0.4
196610,-3.95,-0.15,3.24,5.24,4.31,0.45
196611,7.71,2.75,3.72,-0.60,1.8,0.4
196612,3.59,0.52,-0.36,0.03,0.53,0.4
196701,18.37,17.65,7.92,12.43,8.58,0.43
196702,4.74,3.24,2.02,-0.94,1.14,0.36
196703,6.07,5.69,4.27,5.02,4.38,0.39
196704,5.61,3.22,5.99,3.16,4.21,0.32
196705,-1.56,-2.45,-5.00,-2.45,-4,0.33
196706,9.53,8.30,1.43,4.43,2.68,0.27
196707,7.22,10.17,4.91,7.26,4.89,0.31
196708,-0.45,0.58,-0.75,1.15,-0.58,0.31
196709,6.86,4.69,3.81,1.05,3.43,0.32
196710,-0.78,-3.48,-1.49,-5.56,-2.7,0.39
196711,1.29,-0.85,1.09,-0.18,0.73,0.36
196712,10.89,8.23,2.15,4.04,3.38,0.33
196801,-1.40,3.41,-6.18,-1.48,-3.66,0.4
196802,-7.42,-5.09,-3.32,-3.31,-3.36,0.39
196803,-0.78,-0.51,1.83,0.38,0.58,0.38
196804,17.16,13.33,10.23,12.00,9.48,0.43
196805,9.79,8.90,2.47,5.04,2.73,0.45
196806,-0.19,1.46,-0.02,-0.33,1.12,0.43
196807,-5.80,0.22,-4.52,0.43,-2.24,0.48
196808,3.95,4.71,1.17,2.42,1.76,0.42
196809,7.38,6.42,3.34,4.77,4.46,0.43
196810,-0.63,1.34,-0.59,3.23,0.86,0.44
196811,8.54,6.77,5.49,5.45,5.85,0.42
196812,0.27,-1.07,-4.81,-3.43,-3.51,0.43
196901,-1.78,-0.70,-1.83,0.48,-0.72,0.53
196902,-10.39,-7.50,-3.94,-5.03,-5.38,0.46
196903,3.06,3.19,3.90,2.85,3.1,0.46
196904,0.82,1.22,3.24,2.90,1.99,0.53
196905,-0.27,0.13,-0.16,0.90,0.38,0.48
196906,-12.22,-10.98,-3.43,-6.84,-6.67,0.51
196907,-11.30,-7.29,-4.83,-6.01,-6.47,0.53
196908,7.35,3.71,6.70,2.62,5.18,0.5
196909,-0.54,-2.73,-0.56,-4.76,-2.36,0.62
196910,11.02,7.08,6.24,3.80,5.66,0.6
196911,-5.55,-6.41,-2.14,-3.53,-3.27,0.52
196912,-5.10,-6.66,0.17,-4.32,-1.99,0.64
197001,-6.07,-2.37,-8.06,-5.68,-7.5,0.6
197002,2.58,6.20,3.61,8.06,5.75,0.62
197003,-5.31,0.15,-1.91,1.12,-0.49,0.57
197004,-20.86,-11.18,-10.59,-7.48,-10.5,0.5
197005,-11.41,-8.00,-7.99,-4.21,-6.39,0.53
197006,-9.02,-5.96,-5.43,-6.75,-5.21,0.58
197007,7.55,6.75,5.13,7.86,7.45,0.52
197008,6.27,6.54,4.09,5.88,5.02,0.53
197009,17.15,9.42,7.30,3.86,4.72,0.54
197010,-6.86,-4.11,-0.65,-2.85,-1.82,0.46
197011,0.43,2.52,5.12,6.28,5.05,0.46
197012,7.92,9.37,5.34,5.90,6.14,0.42
197101,10.45,12.59,4.70,5.32,5.22,0.38
197102,4.62,2.44,2.37,1.97,1.74,0.33
197103,8.87,4.68,5.93,2.04,4.43,0.3
197104,3.02,3.32,3.98,5.13,3.43,0.28
197105,-4.25,-5.19,-2.71,-4.54,-3.69,0.29
197106,0.60,-2.23,1.14,-0.14,0.27,0.37
197107,-6.89,-5.87,-4.19,-4.88,-4.1,0.4
197108,4.39,6.73,5.56,8.55,4.26,0.47
197109,0.83,-2.19,0.40,-2.50,-0.48,0.37
197110,-6.24,-6.60,-3.86,-4.38,-4.05,0.37
197111,-2.88,-4.15,0.88,-1.24,-0.09,0.37
197112,13.56,12.32,9.02,9.56,9.08,0.37
197201,9.24,10.68,2.68,5.21,2.78,0.29
197202,4.87,2.77,4.48,1.06,3.12,0.25
197203,1.52,-0.53,2.20,0.79,0.9,0.27
197204,0.38,0.44,0.71,1.11,0.58,0.29
197205,-1.76,-2.79,3.02,-1.34,1.55,0.3
197206,-3.32,-3.09,-1.02,-6.28,-2.14,0.29
197207,-5.22,-2.00,0.56,-1.10,-0.49,0.31
197208,-0.94,2.52,1.43,7.35,3.55,0.29
197209,-3.42,-3.16,-0.47,0.22,-0.8,0.34
197210,-2.63,-1.05,0.49,1.65,0.92,0.4
197211,3.65,6.42,2.96,9.70,4.97,0.37
197212,-0.93,-2.25,2.64,-0.58,0.99,0.37
197301,-7.85,-3.70,-2.62,-1.41,-2.85,0.44
197302,-11.13,-5.86,-2.99,-4.87,-4.44,0.41
197303,-4.25,-1.25,-1.32,1.24,-0.83,0.46
197304,-11.67,-5.00,-6.10,-1.40,-5.16,0.52
197305,-10.13,-7.33,-0.93,-3.31,-2.43,0.51
197306,-5.50,-2.67,-0.91,-0.86,-1.05,0.51
197307,18.03,8.91,6.38,5.07,5.68,0.64
197308,-4.01,-4.09,-3.39,-0.88,-3.14,0.7
197309,10.98,8.46,2.21,9.02,5.43,0.68
197310,-2.36,0.96,-0.28,-0.15,-0.21,0.65
197311,-22.53,-16.17,-12.49,-10.86,-12.18,0.56
197312,-2.47,-1.30,-1.40,5.84,1.22,0.64
197401,7.71,13.91,-1.10,4.45,0.46,0.63
197402,0.06,1.95,-1.07,2.11,0.1,0.58
197403,-0.43,0.44,-1.76,-2.86,-2.25,0.56
197404,-6.37,-3.63,-3.57,-4.29,-4.54,0.75
197405,-7.22,-6.77,-1.56,-6.15,-3.92,0.75
197406,-3.18,-1.21,-2.04,-2.50,-2.23,0.6
197407,-6.64,-3.00,-9.43,-2.78,-7.35,0.7
197408,-9.51,-7.44,-10.07,-7.11,-8.75,0.6
197409,-11.81,-7.29,-13.67,-7.17,-10.96,0.81
197410,14.48,7.95,21.39,7.90,16.61,0.51
197411,-5.16,-5.51,-4.03,-3.98,-3.97,0.54
197412,-7.14,-7.75,-3.26,-2.64,-2.75,0.7
197501,24.49,30.56,10.52,21.33,14.24,0.58
197502,6.73,3.68,8.20,2.10,5.99,0.43
197503,7.73,8.36,2.89,7.16,3.07,0.41
197504,6.54,3.16,5.69,6.82,4.67,0.44
197505,10.26,6.90,5.66,0.95,5.63,0.44
197506,6.99,6.25,4.31,7.68,5.24,0.41
197507,-2.97,-2.54,-7.51,-4.54,-6.11,0.48
197508,-4.61,-6.60,-2.23,-2.03,-2.37,0.48
197509,-4.01,-3.45,-3.92,-3.79,-3.73,0.53
197510,1.36,2.01,6.53,6.48,5.87,0.56
197511,1.31,3.82,3.03,4.51,3.06,0.41
197512,-1.63,-0.88,-1.81,0.95,-1.12,0.48
197601,14.98,24.62,10.79,18.33,12.63,0.47
197602,6.67,12.26,-1.33,4.64,0.66,0.34
197603,1.25,1.76,2.83,2.25,2.73,0.4
197604,-1.02,-1.11,-1.59,-1.62,-1.07,0.42
197605,-0.87,-3.58,-0.61,-0.53,-0.97,0.37
197606,3.94,3.88,4.46,5.88,4.48,0.43
197607,-1.12,0.78,-1.20,0.39,-0.6,0.47
197608,-3.44,-1.24,-0.31,-0.91,-0.14,0.42
197609,3.48,2.21,2.20,2.90,2.5,0.44
197610,-2.72,-2.09,-2.47,-3.36,-2.01,0.41
197611,3.63,3.86,-0.74,2.05,0.76,0.4
197612,9.60,10.06,4.79,8.77,6.05,0.4
197701,0.80,3.23,-6.31,-0.22,-3.69,0.36
197702,-0.96,0.10,-1.87,-1.92,-1.6,0.35
197703,0.28,0.19,-1.64,0.50,-0.99,0.38
197704,1.07,2.54,-1.11,4.32,0.53,0.38
197705,-0.76,0.72,-1.79,-1.58,-1.09,0.37
197706,7.44,6.99,5.67,4.84,5.11,0.4
197707,0.03,0.57,-1.48,-3.18,-1.27,0.42
197708,0.77,-1.49,0.35,-3.02,-1.31,0.44
197709,1.61,0.62,-0.70,-0.67,0.16,0.43
197710,-3.84,-1.55,-4.32,-3.18,-3.89,0.49
197711,8.27,8.18,4.03,4.77,4.5,0.5
